body,clusters_0,sentiment_positive_score,sentiment_negative_score,sentiment_combined_score,sentiment_summary,published_date,post_type,total_engagement,comments,shares,likes,author_gender,followers
", , , There has been plenty of research done on this, resulting in zero evidence that any wages have ever been suppressed. Poor wages are due to poor employers, not skilled people taking jobs that UK citizens largely do not want to do as the current situation so clearly shows.",Poor Pay,2.765692463,3.3292219,-0.532021161,negative,"Jul 25, 2021",Replies,0,0,0,0,Unknown,727
", They got their pay rise this should be getting lifted now. Be clear soon so nothing for Sarwar to moan about. No doubt he will find something else for SNP bad claim. Talks to wee rat Ross for ideas. SaltireSunday YesScots",Leaseholding,2.547777894,2.346537499,-0.264292862,neutral,"Oct 31, 2021",Replies,0,0,0,0,Unknown,697
", , Interesting. Always the poorest who suffer from fines. There was a guy who lived above the pig once who was constantly getting parking fines but said it was better than getting out of bed in the morning to pay. Just wasn’t bothered by it at all.",Leaseholding,5.035782849,3.533156595,0.007803714,neutral,"Nov 30, 2020",Replies,0,0,0,0,Female,674
", , , Exactly standards are already poor yet they complain and expect a rise that's higher than the national average for a political stunt. When the real question should be if you want a pay increase of that size how do we ensure our standards improve",State Pension,4.162028338,2.172262613,0.303659643,neutral,"Nov 1, 2021",Replies,0,0,0,0,Male,655
", , , If paying a living wage to drivers,veg pickers etc, means a slight rise in prices,so be it. Let's face it, supermarkets, where most people shop, make huge profits & can assimilate some price rises.Their competetive approach would suggest they will be loathe to pass on increases.",Pay Rises,2.517891424,1.766578297,0.007803714,neutral,"Oct 3, 2021",Replies,0,0,0,0,Female,654
"@_DylanHamilton_ The people missing out here are probably people on low incomes, who can't afford to pay the inflated prices to go on holiday in the UK this year, since demand is so high. Not the comfortably middle class who can afford a decent holiday in the UK.",Poor Pay,3.183324539,3.563246406,-0.459319528,negative,"Mar 21, 2021",Replies,0,0,0,0,Female,652
", , , PS My mum was a riding instructor (it's lowpaid) and my dad worked on a maintenance team at Gatwick Airport (if things like the baggage claim belt broke down he'd go fix it and it was: lowpaid). Those salaries combined would struggle to RENT their own place now.",Job,1.277755617,3.769610947,-1.428440275,negative,"Sep 8, 2021",Reposts,0,0,0,0,Unknown,611
"Today, MPs will debate the rotten FireAndRehire tactics that allow bad bosses to bully staff into contracts with worse pay & rights, yet not one Government backbencher has applied to speak. Just shows how much they care about protecting people's livelihoods. EndFireAndRehire ,",Social Care,3.764867197,3.113247642,-0.156527442,neutral,"Apr 27, 2021",Reposts,0,0,0,0,Female,587
", I doubt if the feeling was mutual. You will be forgotten in an instant but the damage you have done to Scotland's poorest people will NEVER be forgotten. Enjoy the luxury of your high salaries but they are not guaranteed to last forever. You shameless excuse for a man",Small Businesses,3.000776785,3.33200916,-0.45127788,negative,"Oct 3, 2021",Replies,0,0,0,0,Female,584
", , I assume he has an accountant who knows all these answers and financial advisors . All those poor uneducated morons who feel sorry for him having to pay tax and obey the law . Who applaud his whining . Do they pay tax ?",Rich People,2.795653285,2.89635015,-0.381959153,negative,"Jul 5, 2021",Replies,0,0,0,0,Unknown,578
"It's Sarah Vine who needs to go back to school. The OPEC heist, inflation and low wages forced miners to strike in the 70s. Heath said; 'Who governs Britain?' The electorate said; 'Not you!' Wilson, Foot & the NUM then settled the strike in weeks. ,",House Prices,1.846394278,5.33499174,-1.407626228,negative,"Aug 8, 2021",Reposts,0,0,0,0,Unknown,572
", , The Roman Senate never spent too much time deliberating whether their gods were real or not. They just satisfied themselves by reminding the plebs that they were bad citizens who'd piss Jupiter off for sure if they didn't pay their taxes promptly.",Government Support,5.549371117,1.490714887,0.967855224,positive,"Oct 18, 2021",Replies,0,0,0,0,Male,554
", , , Oh I have a licence I like David Attenborough . I can't stand that Pointless programme mind you it's well named as far as I'm concerned . Although my poor old father only has half a eye , I think it's bad he has to pay for a licence.",Government Support,1.895733531,4.838064652,-1.283482514,negative,"Aug 5, 2021",Replies,0,0,0,0,Unknown,540
", Imagine, poor Shamima isn't welcome in Britian, OR the EU! How the union has failed this poor sweet innocent girl. Who will pay her benefits and home her now?",State Pension,5.875122442,1.318853056,1.147390849,positive,"Feb 26, 2021",Replies,0,0,0,0,Male,535
"Forget being outraged at the Octoberlockdown and instead be concerned with the social care overhaul that this inept, incompetent and unfair government are planning. Taxing the workers. Making cost of living pay rises defunct. Protecting the dead and rich. fuckthetories.",Social Care,1.577207623,6.999104193,-1.836699802,negative,"Sep 7, 2021",Reposts,0,0,0,0,Unknown,528
", , and deserve more. As do delivery drivers, police and many others. Sick and tired of this NHS. Look at the amount paid out for poor care and death. Lived in many EU countries and NHS bottom of list. pockets of excellence not shared throughout country.",Statutory Sick Pay,3.55589031,3.769610947,-0.404939919,negative,"Mar 6, 2021",Replies,0,0,0,0,Female,516
", They are extremely reliant on low education voters who are tired of the poor pay. College educated voters hate them, so they really struggle outside of those workers plus retired",Poor Pay,1.318853056,4.892246295,-1.657462691,negative,"Oct 1, 2021",Replies,0,0,0,0,Male,507
", The majority of the electorate is happy to pay a little more tax so that the poorest people in society don't starve and/or freeze to death or face a choice between their health and their job, but they would be happier if billionaires like Sunak paid their fair share as well.",Job,5.543310798,1.153996424,1.22278728,positive,"Jan 18, 2021",Reposts,0,0,0,0,Unknown,497
"cant believe this has to be said but...removing financial barriers to education OBVIOUSLY benefits the working class+ should OBVIOUSLY come as part of broader economic reforms, increased welfare payments+benefits that mean kids arent trapped helping pay bills. this is basic stuff",Cost of Living,4.197988597,1.118036165,0.976458193,positive,"Jan 29, 2021",Reposts,0,0,0,0,Male,491
"Good piece. Brexit has exposed, but does not solve, fundamental problems in our economic model: low wages & poor conditions, driving an ""unsustainable cheapness"" on which other lowincome households depend. An economy that rests on & perpetuates inequality ,",Low Income Families,1.538661899,5.851461714,-1.682351944,negative,"Aug 25, 2021",Reposts,0,0,0,0,Male,483
"Casual contracts and the prospect of impoverishment in retirement are big buzzkills, too. Being told  by constant real wage cuts  that our work is worthless, while bosses award themselves huge pay packets, is also a buzzkill. Student debt, poor housing... so many buzzkills",Wage Growth,3.638085188,1.277755617,0.699778791,positive,"Nov 5, 2021",Reposts,0,0,0,0,Unknown,467
", The issue of low pay for nursery care is harder, but partly stems from how expensive the costs are (ie it's already barely affordable, so not much room to raise prices & thus wages), though doubt this is half the total problem, as all care work is relatively lowpaid employment.",House Prices,1.734928385,3.510877028,-1.051473326,negative,"Oct 5, 2021",Replies,0,0,0,0,Male,453
", When are the British public going to wake up to the fact Brexit is a disaster? Until they do they will be putting up with lower rates of living. Vaccination rhetoric is used so no one will notice how bad things are. All because the rich did not want to pay tax on off shore money.",Rich People,1.277755617,5.390734273,-1.78615008,negative,"Jul 16, 2021",Replies,0,0,0,0,Unknown,449
", , , , Atrocious policy. No fair negotiation with this type of blackmail over workers heads. I will always support the working mans right to strike over unfair pay and conditions of service. I hope you will get the solidarity you need and TUC support. ( and I have a BG service contract)",Poor Pay,4.32382721,3.490276493,-0.13241361,neutral,"Jan 7, 2021",Reposts,0,0,0,0,Unknown,446
 Lost job due to covid  Found lower paying job to try and make ends meet  Bills started to fall behind  Got Covid19  Currently quarantined and can’t work  And just received a 30 day notice to vacate my apartment LORD I JUST CAN’T 😭😭😭 Y’all I need help 🥺,Job,1.846394278,5.33499174,-1.407626228,negative,"Dec 10, 2020",Reposts,0,0,0,0,Unknown,445
", , , , , Wages suppressed for too long, hours too long to make a good wage, replaced by cheap low quality labour, just like all sectors. I know companies that will NOT employ EU nationals, as too much damage been caused over the years etc by cowboys, but then, look at tradespeople too",Poor Pay,2.765692463,2.931919626,-0.404939919,negative,"Aug 28, 2021",Replies,0,0,0,0,Unknown,445
"⚖️ , I. Stephanie Boyce writes that civil LegalAid is being eroded and with it our ability to access rights. A generation of cuts and stagnant rates of pay have pushed many firms to the brink of bankruptcy , ,",Mental Health,4.244432719,2.992244175,0.00301092,neutral,"Sep 27, 2021",Reposts,0,0,0,0,Female,440
", , , , It will take years and a reorganisation of haulage. Nobody is joining the business because the wages, hours and conditions are appalling. Knock on effect will be long term shortages and increased costs leading to inflation.",Poor Pay,4.148538695,4.349932426,-0.39397775,negative,"Aug 28, 2021",Replies,0,0,0,0,Male,430
"On a call regarding ‘Fire and Rehire’. Fire and Rehire is immoral. It should be illegal. It attacks wages, it spreads insecurity and it benefits bad bosses. FireAndRehire tradeunion , , , ,",Poor Pay,1.538661899,5.75556769,-1.665828129,negative,"Apr 13, 2021",Reposts,0,0,0,0,Unknown,425
"Alliance Boots alone, who profit from huge NHS contracts, have avoided around £1.2bn tax since 2007. Overall corporate tax abuse amounts to some £69.9bn EVERY YEAR. Instead of making them pay, this Govt is taxing the poor. It's time to TaxTheRich ,",Government Support,1.538661899,4.44582645,-1.407626228,negative,"Sep 8, 2021",Reposts,0,0,0,0,Female,424
"Why should a hedge fund manager pay a lower rate of tax than a nurse? That's the question begged by our current system of capital gains tax. Even Thatcher agreed. Action to tackle this would be a political no brainer. ,",Low Income Families,3.14736428,3.226489061,-0.371402792,negative,"Nov 12, 2020",Reposts,0,0,0,0,Female,407
", , , , , , Of course it didn’t pay off. What a strange way to look at it. The bad writing just means the stories weren’t told as well as they could have been. That’s one of the oddest comments I’ve ever read. “The bad writing paid off”. Just truly bizarre.",Leaseholding,1.551054707,3.879957786,-1.263462708,negative,"Jul 20, 2021",Replies,0,0,0,0,Male,384
", Which is why tax should stay low & uncomplicated enough that it’s not worth paying a tax expert more than the tax you’re paying 🤷🏽‍♂️",Government Support,2.307992848,2.672249311,-0.493115897,negative,"Oct 4, 2021",Replies,0,0,0,0,Male,377
", People are falling below poverty line every day. Salary is stagnant or non existent but bills are rising,How much can we squeeze the average person.Even if u give me NPower or Tradermoni, it doesn't make any difference. My take home pay cant take me home. People are dying daily",Poor Pay,1.318853056,5.015538612,-1.682351944,negative,"Jan 16, 2021",Replies,0,0,0,0,Unknown,369
"Money runs and controls everything in this country. Even the constitution could be interpreted, twisted and tweaked to your favour if you pay enough money. The result of a bad value system, weak institutions, and incompetence in all arms and levels of government.",Wage Growth,2.797657138,3.837045127,-0.662493832,negative,"Jul 30, 2021",Reposts,0,0,0,0,Male,366
"The “obesity crisis” has absolutely nothing to do with “bad foods” being cheap and everything to do with poverty, poor work/life balance, long shifts and shit wages. Taking more money off people is not going to do anything and neither is taxing accessible foods.",Long Hours,2.938559021,4.933343734,-0.864671259,negative,"Jul 15, 2021",Reposts,0,0,0,0,Female,365
", , , , Everyone is capable of ingenuity. Socialism stifles it by not rewarding it. UBI or negative income tax could just do the opposite as they give saftey nets to the poorest, free people up to work on meaningful things while keeping rewards for value added that capitalism provides",Income Tax,4.569539677,3.093811387,0.043435093,neutral,"Aug 8, 2021",Replies,0,0,0,0,Unknown,358
"The rising costs of living, high rent, lack of wage increases and the wait for Universal Credit are some of the main reasons for most people in the UK falling below the poverty line, leading to food bank use, not because of their spending habits. ,",Government Support,2.478469122,3.728513508,-0.754942141,negative,"Apr 28, 2021",Reposts,0,0,0,0,Unknown,345
"Angela Rayner: ""Under the Conservatives we have a broken economic model defined by insecure work, low wages and inwork poverty, and a lack of opportunity for people who want to get on and find good work to support themselves and their families."" SocialismFixesThose",Leaseholding,3.596987749,5.182587723,-0.711781323,negative,"Jul 26, 2021",Reposts,0,0,0,0,Unknown,344
"For the last 48 years real wages for the working class in this country have been stagnant while the very rich have gotten much richer. Today, the top 1% own more wealth than the bottom 92%. Our job is to defeat oligarchy and create an economy that works for all, not just the few.",Low Income Families,2.478469122,2.564780721,-0.380805496,negative,"Jun 3, 2021",Reposts,0,0,0,0,Male,344
", , , I'd suggest most of the wealth they create is kept for themselves and the disparity between the highest paid and the lowest is to great and cannot be justified. That people cannot live on 'minimum' wage while the wealthy avoid tax is a national embarrassment.",National Insurance,2.843600297,4.64071708,-0.836371528,negative,"Dec 9, 2020",Replies,0,0,0,0,Female,331
"Gross Income Inequalities Shame Britain: shoddy packed lunches for children entitled to free meals  almost one child in five  reveal starkly the chasm between lowpaid households and those within the financial stratosphere ,",Government Support,1.538661899,5.75556769,-1.665828129,negative,"Jan 13, 2021",Reposts,0,0,0,0,Unknown,325
", Notice he doesn't suggest a meaningful pay rise.what a cheek from the man who run down the NHS budgets and staffing levels.",Poor Pay,2.981429773,6.594825864,-1.140455997,negative,"Feb 10, 2021",Replies,0,0,0,0,Male,320
", , , , credits/universal credit. The wage top up is not the best system 2b fair as it does block wage growth. On the plus side, it means even those in low paid jobs can afford 2 live. No system is perfect but not having universal healthcare is just madness in the richest country on 🌍",Government Support,4.502804693,3.490618971,-0.091952199,neutral,"Dec 19, 2020",Replies,0,0,0,0,Male,311
", , , , There’s a lack of connection between home and environment. Homes without accessible and natural landscapes are just future slums. Short term solutions for poor strategic and financial planning. As usual, the poorest pay.",Low Income Families,3.077323797,6.49893184,-1.094151099,negative,"Oct 1, 2021",Replies,0,0,0,0,Unknown,304
", , £30000 plus a year Not a bad wage for sleeping with him. Ladies send you cv to , 10 Downing St London sw1 Mark envelope private.",Public Sector Pay,6.039306994,4.615985696,-0.077809751,neutral,"Mar 29, 2021",Replies,0,0,0,0,Male,302
"By 'fortunate"" enough you mean the entire Civil Service in Canada who were immediately declared immune from Covid fiscal consequences & collected their full pay with benefits & raises throughout while the lower working Private sector class suffered all the effects, yup party time",Public Sector Pay,2.31514512,0.839270127,0.668121444,neutral,"Jul 18, 2021",Reposts,0,0,0,0,Unknown,292
", Just to be clear, the private companies eg G4S, will be highly paid. The poor bloody workers on the front line will only receive a pittance in wages. More cash handouts for the tory mafia. Disgraceful. The most corrupt, useless, incompetent and deceitful pm and government EVER",Poor Pay,2.262839288,5.465683905,-1.2284425,negative,"Jul 27, 2021",Replies,0,0,0,0,Male,290
", , , My lower back was bad too, luckily can go back to the office. Employers should pay for the setup though. I got a monitor from them in case I have to go back home to allow other to come in when it's mandatory again (at social distance reduced desks, sigh).",Low Income Families,4.756603815,1.277755617,0.967855224,positive,"May 17, 2021",Replies,0,0,0,0,Unknown,289
I’m at the top of my band so therefore have had no pay rise for 3 years. I won’t get a pay rise. Despite being responsible and accountable for numerous skills that I could boggle your mind by explaining...,Wage Growth,2.546659632,3.482108821,-0.659429132,negative,"Mar 5, 2021",Replies,0,0,0,0,Female,287
"Payroll deduction with your credit union is one of the easiest ways for your employees to save small amounts directly from their pay. Poor financial wellbeing affects productivity and leads to increased absenteeism. Talk to us today , about this free staff benefit.",Public Sector Pay,6.659245341,1.846394278,0.936197877,positive,"Dec 10, 2020",Reposts,0,0,0,0,Unknown,285
"Today's budget brings both positives and negatives  the UC taper change, rise in the living wage and support for renters are good steps, but many lowerincome households will continue to struggle with the burden of pandemic debt Read more: , ,",Low Income Families,4.148538695,4.349932426,-0.39397775,negative,"Oct 28, 2021",Reposts,0,0,0,0,Male,264
", , , Aye you just keep complaining about poor wee you while the workers try and get a better wage ya selfish cunt.",State Pension,1.788857864,6.906681228,-1.697485476,negative,"Oct 14, 2021",Replies,0,0,0,0,Unknown,252
", tries to cancel a referee and then complains about cancel culture He then complains about fighter pay counter punches that with people are soft, just get on with it My favourite..... complaining about an early stoppage, switch stance, no deaths, poor Frankie, safety ,",Government Support,2.490520136,5.162382497,-1.075480209,negative,"Mar 6, 2021",Replies,0,0,0,0,Unknown,251
", No need to wait. Prices will continue to go up, taxes will go up, mortgage repayments will rise, disposable income will continue to fall until it becomes unbearable. There is no free lunch. All the money spent on Covid relief will have to be paid back one way or another.",Income Tax,5.507350539,3.527286147,0.098981293,neutral,"Sep 13, 2021",Replies,0,0,0,0,Male,234
"In “normal times,” wages have remained stagnant, millions don’t have health care, institutionalized racism rages, and climate change threatens the planet. America must demand more than normal.",Cost of Living,3.183324539,4.388596286,-0.66765691,negative,"Dec 5, 2020",Reposts,0,0,0,0,Female,231
", Boris would love inflation at 20%, unearned income up 25% minimum wages up 2%. He could then say the low paid are getting a pay rise, which is true but causes massive suffering for the poor. He would probably like benefits up 1% so he can say pay is going up by more than benefits",Minimum Wage Increase,3.272086256,0.894428932,0.950424019,positive,"Oct 3, 2021",Replies,0,0,0,0,Male,231
", , The pay rise is an insult to the hard working nurses, but not many are on £24k a year. The average, according to the RCN is £33£35k. But they still deserve a decent payrise, and scrap the back room staff.",Poor Pay,4.756603815,2.523683282,0.287240885,neutral,"Mar 5, 2021",Replies,0,0,0,0,Unknown,208
"In Wales we have a lagging economy, lower wages, poor housing stock and a lack of investment thanks to Welsh Labour's dream of a socialist utopia. In Wales we need a rethink and to move away from socialism to inspire business confidence in our economy to build a better future. ,",Low Income Families,4.674408937,1.277755617,0.950424019,positive,"Mar 30, 2021",Reposts,0,0,0,0,Male,201
", I had my wedding reception here in 2011, and although we had a great time because of our friends and families, it wasn't the perfect venue. Lots of what we paid for not there. Complained and was just told ""tough!"" Left a bad taste in my mouth, that's for sure.",Low Income Families,3.111404021,4.534764258,-0.723272612,negative,"Jun 16, 2021",Replies,0,0,0,0,Female,196
", In another world, job vacancies exceeding the number of skilled workers and a rapid wage increase is a warning sign of incoming rampant inflation. But let’s pretend this is a good thing. So that we can pretend Brexit is working.",Job,2.797657138,3.837045127,-0.662493832,negative,"Oct 14, 2021",Reposts,0,0,0,0,Unknown,195
", , , , , , , , , , , , , , , , Well we can expect nothing more. , is a dirty politician of a tarnished government. Blocking all and sundry on twitter is not going distance this poor excuse of a government servant from the horrific implications of this retrospective tax which is simple income theft.",Government Support,2.891547309,5.851461714,-1.051473326,negative,"Jan 29, 2021",Replies,0,0,0,0,Unknown,193
", , Anglian Revenues Partnership (benefits office) haven’t heard of the Household Support Fund. 🤷🏼‍♂️ Losing £1k a year isn’t enough of a drop in income to allow for any other support. It was an uplift. Rising costs is the issue. Benefits analysis DO NOT take outgoings into account.",Government Support,6.341422216,0.993809924,1.506738791,positive,"Oct 6, 2021",Replies,0,0,0,0,Male,187
", , Biden Pauses Executive Order Discounting Insulin Prices for LowIncome Americans. Biden hates the poor and only wants to serve his wall street masters he does not care if diabetics die. think of that family that will lose someone because of this. Joe's friends in big pharma",Low Income Families,3.635651396,3.135365464,-0.198531037,neutral,"Jan 23, 2021",Replies,0,0,0,0,Unknown,183
"Raab: With hindsight I wouldn't have gone on holiday This has been THE problem for years. Poor judgement, bad decisions, lack of leadership and pure rhetoric Disaster after disaster with people paying WITH THEIR LIVES! It's time JohnsonOut ,",Low Income Families,1.538661899,5.75556769,-1.665828129,negative,"Aug 25, 2021",Reposts,0,0,0,0,Female,182
"The kind of political leaders we choose will determine nature of our society. If we elect thugs, we vote for rowdyism & bad behaviour in society. From not paying bills at restaurants to beating up toll booth workers  bad politics triggers bad social behaviour. DMK is an example ,",Social Care,2.795653285,4.349932426,-0.788668088,negative,"Apr 2, 2021",Reposts,0,0,0,0,Male,177
"I think Bowie, like Sarwar, has ambitions outside of Scotland. I think Ross, the chump, is the one bellicose and grandiose enough to think he'll continue to fall upward. Four salaries is a bad look, though,this week anyway.",Poor Pay,1.421800148,2.877783845,-1.051670311,negative,"Nov 10, 2021",Reposts,0,0,0,0,Male,170
", Yes ! Universal basic income would mean that every worker has the financial clout to negotiate proper terms and conditions and ultimately have the ability to quit working for bad employers who would then go bust, deservedly so.",Government Support,4.992494641,1.358906383,0.954681877,positive,"Jan 25, 2021",Replies,0,0,0,0,Male,170
", , , , , Where did they say they weren't in work John? 40% of claimants are. The benefit is designed, not as a lifeline, but to top up criminally low wages  and it clearly doesn't do that. Do some research before you open your gob. It makes you look silly.",Low Income Families,5.549371117,1.490714887,0.967855224,positive,"Sep 21, 2021",Replies,0,0,0,0,Male,169
", , ypu really think people are that shallow ? here u could be right ... 4% wage rise is pathetic and if your vote can be bought by a kids computer then I despair, alot of people do know about the GRA and HCB though, just sadly not enough",Government Support,0.813117211,3.139400558,-1.697485476,negative,"Mar 31, 2021",Replies,0,0,0,0,Unknown,169
", The nurses who put their lives on the line, and many died, were offered a paltry pay rise. BJ’s friend who is able to meddle from a secure location is pandered to with offers of tax breaks. Just as you think BJ can’t stoop lower, he does, big time.",Poor Pay,3.638085188,2.482585843,0.03558321,neutral,"Apr 22, 2021",Replies,0,0,0,0,Male,168
", , As well as price inelastic, cheap/free food is economically an inferior good meaning demand has an inverse relationship with income. As income falls, people switch to cheap or free food as they can't easily reduce consumption. Want to reduce foodbank demand? Increase incomes.",Leaseholding,6.191356453,2.208222872,0.684392547,positive,"Jan 14, 2021",Replies,0,0,0,0,Male,168
", I had a bad experience with Klarna as well. Approved credit, goods arrived and then out of nowhere they rescinded the credit agreement. Had to send goods back, as I couldn't afford the payment in one go. Nightmare. I had paid what was due each time, without any problems.",Poor People,6.115647545,2.79306071,0.437139045,positive,"Feb 5, 2021",Replies,0,0,0,0,Female,164
"We need to pay $240 for penicillin for the poor little buckskin with the bad castration & vaccinations & dewormings for our 5 minis we saved together. Will you help us if you can please? , Venmo , donate pledge horse rescue ,",Government Support,5.834025003,1.277755617,1.172028452,positive,"Feb 2, 2021",Reposts,0,0,0,0,Female,159
", , Yeah. But who cares that Hungary has the highest inflation in the EU, and the 3rd lowest in wages. We reduce your income tax so you can pay 27% VAT. Costs are soaring, 2nd worse Covid death rate, but hey look,vaccinces. And we protect Party interests. I mean national interests.",National Insurance,3.358390878,1.766578297,0.295843853,neutral,"Sep 5, 2021",Replies,0,0,0,0,Unknown,159
", , Funny how hard they are on alcohol, lower drink drive limit, minimum unit pricing & Covid prohibition! But junkies get free smack! Another disaster for SNP. When the first junkie dies and sues the Scottish government, the tax payer will be paying out millions in compensation!",State Pension,4.126068079,4.352636026,-0.40003032,negative,"Apr 5, 2021",Reposts,0,0,0,0,Female,155
"The new ,: we don’t really care — at all — about the lowwage workers who were falsely and unjustly vilified for things they didn’t do, to the point that they suffered physical and mental health problems and some had to leave their jobs: , ,",Social Care,1.153996424,5.406862474,-1.891011496,negative,"Feb 25, 2021",Reposts,0,0,0,0,Male,155
", , Yup, 2 lots of NI, employers and employees, so we are doubly screwed. We are just one instance of the Tories screwing the population, everywhere you look they are cutting benefits and investment, taxing more, and wages remain stagnant. If you aren’t useful to them, you don’t fit",Government Support,3.14736428,3.334369838,-0.404291931,negative,"Sep 6, 2021",Replies,0,0,0,0,Unknown,151
", , , I criticise him for underpaying his tax, not failing to pay it, therefore I am quite correct. Don't have any thoughts either way about him or F1 but abhor all tax evasion/avoidance regardless of who it is",Small Businesses,2.243991828,2.931919626,-0.613974615,negative,"Dec 31, 2020",Replies,0,0,0,0,Male,147
", , Brexit is like Britain shooting itself in the foot because it can't be bothered to scratch an itchy toe! Zero benefits and just pain and disruption for so many businesses, loss of income and a much poorer Britain!😡",State Pension,2.132700223,4.316675767,-1.051670311,negative,"Aug 9, 2021",Replies,0,0,0,0,Male,142
", Ahh, the poor lad! Some people will never get it. I can say with certainty that his future is watching his disposable income gradually depleted to zero as he is one of the few still buying horrendously expensive dead dinosaur juice.😂",Poor People,1.490714887,5.851461714,-1.714009291,negative,"Aug 29, 2021",Replies,0,0,0,0,Male,140
", You are essentially saying that some employers don’t pay enough to live on. Thus effectively arguing against yourself. Bills are rising this is true so why are you arguing that the poorest in society should suffer even more? You should be campaigning against tax evasion instead.",Cost of Living,1.421800148,2.949704363,-1.076354761,negative,"Oct 6, 2021",Replies,0,0,0,0,Unknown,135
", , My wages, WTC and widowed parents allowance means I earn slightly over the threshold for council tax rebate, school uniform grant, free school meals etc. Not all low income families qualify for these and it’s worth remembering that one wage families struggle too",Low Income Families,4.756603815,2.523683282,0.287240885,neutral,"Apr 13, 2021",Replies,0,0,0,0,Unknown,134
", , , , , , , , @07985Bill , , , , , , , , @2351onthelist , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , They are. But they're using the poorest people in the EU to do the unskilled work no else else wants to do. They'll the poorest paid. The EU has a skilled labour shortage nurses). But you don't care about the poor. They're just a political pawn for you. ,",State Pension,3.412320356,3.956895518,-0.494640832,negative,"Oct 11, 2021",Replies,0,0,0,0,Unknown,133
"An awful story which we will see many more times. Doing nothing whilst a nurse is forced out of retirement to pay for building defects caused by the poor work of multimillion pound companies (who will profit off of these repairs) is quite the look, even for this government.",Poor Pay,4.112585709,2.638727663,0.097181512,neutral,"Apr 8, 2021",Reposts,0,0,0,0,Unknown,129
", Funny how these paid ‘protesters’ aren’t being pushed over, kettled or hit with batons. More BS vaccine propaganda. Tugging on the heart strings. ‘Please stick this crap in the poor African kids who don’t want it or need it’ Disgusting, staged bollox. Nice try. We’re not stoopid",Low Income Families,3.68640845,3.139400558,-0.185952803,neutral,"Oct 13, 2021",Replies,0,0,0,0,Male,124
", , , That, is a meaningless statement. By the way. It's the average income that hit the most by that. If you don't understand economics, that's cool. But don't act like the Tories raising tax is bad but the SNP raising tax is good. It's a bullsh*t tribalist stance.",Leaseholding,1.318853056,5.390734273,-1.754492733,negative,"Oct 3, 2021",Replies,0,0,0,0,Male,122
"@11Nizzy , I really don't understand how that's poor spending, we're paying less than what villa paid for Buendia 🤷🏻‍♂️, Ramsdale isn't amazing but we need homegrown and the market is thin",Small Businesses,2.23607233,2.672249311,-0.524773244,negative,"Aug 17, 2021",Reposts,0,0,0,0,Male,121
"Bus franchising is now inevitable, but what will be interesting is to see how these politicians succeed with their promises. Low fares? No route cuts? No frequency cuts? Patronage increases? Something tells me they're going to struggle, and the tax payer will pay the burden.",Rich People,4.674408937,3.687416069,-0.109396827,neutral,"Mar 26, 2021",Reposts,0,0,0,0,Male,119
", I agree strongly with this thread. However, three points on pay (1) MPs need to stay in touch, and be seen to stay in touch, with their electorate. Increasing pay might damage this (2) higher pay might attract the wrong people and (3) there are other valuable underpaid PS workers",Poor Pay,2.074269348,2.949704363,-0.69866957,negative,"Oct 17, 2021",Replies,0,0,0,0,Unknown,117
", , , What a totally unfair comment. I was brought up on a council estate we were very poor. My dad worked two jobs and my mum worked. Rent was always paid. We had food, good shoes, a decent bed. The majority on that estate paid their way. My sisters and I have worked hard & succeeded.",Council Tax,3.183324539,2.208222872,0.019164451,neutral,"Jul 29, 2021",Replies,0,0,0,0,Female,112
", All to fit their narrative, and more ammunition for their new ‘friends’. The cold and bullying RF making it impossible for poor H to pay respects to his own mother (who only had one son apparently) you can see the headlines already 🥱",Government Support,4.148538695,2.992244175,-0.019841106,neutral,"Apr 26, 2021",Replies,0,0,0,0,Unknown,112
", , , , Thank you for all your doing, i fall into the group paying tax yet unable to claim, the chancellor will need our help rebuilding the countries finance's and employing others, if we fail so does he, unemployment & benefits bills will rise as we go bust, less people will risk again",Cost of Living,3.300854463,2.66749587,-0.133532383,neutral,"Jan 17, 2021",Replies,0,0,0,0,Male,109
"It's not a shortage of drivers but a failure to pay them a living wage. WAGES ARE TOO LOW, READ MY LIPS!! New recruits = rinse and repeat!! m25 m11 drivershortage ,",Cost of Living,6.226300341,4.615985696,-0.04731671,neutral,"Aug 26, 2021",Reposts,0,0,0,0,Unknown,101
"Tories will bring in a clapped out NHS for people who can't pay.Poor out of date equipment,and bargan basement procedures.Waiting lists like we have now.Private Hospitals will be new and very expensive.That's post Brexit dream.The State will no longer finance an excellent NHS.",State Pension,5.453477093,1.538661899,0.918766672,positive,"Feb 15, 2021",Reposts,0,0,0,0,Unknown,99
", Not all NHS staff, many aren’t front line, but I do get the sentiment. We also frequently forget about the low paid NHS support staff that aren’t directly employed by the NHS & are not afforded decent sick pay & pensions. I’d favour a much bigger 10+% for the lowest paid.",Poor Pay,2.396274244,5.538685054,-1.184415575,negative,"Jul 22, 2021",Replies,0,0,0,0,Unknown,99
"Poor day laborers, paid by the military dictatorship, march to Rangoon Central Station posing as supporters of the military. People in the area protested with iron cans. The fake protesters are attacking the people with the slingshots they brought with them. Feb25Coup ,",Government Support,1.490714887,5.75556769,-1.697485476,negative,"Feb 25, 2021",Reposts,0,0,0,0,Unknown,98
